network,station,longitude,latitude,elevation
YW,2029,-97.69589,36.611431,323.9
YW,2030,-97.695879,36.610524,324.1
YW,2031,-97.695882,36.609618,324.0
YW,2032,-97.69589,36.608711,324.0
YW,2033,-97.695907,36.607743,324.1
YW,2034,-97.695891,36.606899,324.4
YW,2035,-97.695895,36.605992,324.9
YW,2036,-97.695908,36.605086,325.1
YW,2037,-97.695903,36.604179,325.0
YW,2038,-97.695919,36.603273,324.6
YW,2039,-97.695908,36.602367,325.9
YW,2040,-97.695903,36.60146,326.4
YW,2041,-97.695903,36.600554,326.4
YW,2042,-97.695908,36.599647,326.3
YW,2043,-97.695919,36.598741,327.1
YW,2044,-97.695925,36.597834,327.3
YW,2046,-97.695925,36.596022,328.3
YW,2047,-97.695925,36.595115,328.8
YW,2048,-97.695919,36.594209,328.9
YW,2049,-97.695914,36.593528,329.1
YW,3001,-97.660019,36.63673,316.5
YW,3002,-97.659952,36.635824,318.1
YW,3003,-97.659943,36.634917,318.9
YW,3004,-97.659944,36.634011,319.6
YW,3005,-97.659946,36.633104,320.2
YW,3006,-97.659946,36.632198,320.1
YW,3007,-97.659941,36.631292,318.9
YW,3008,-97.659949,36.630385,319.9
YW,3009,-97.659943,36.629479,320.1
YW,3010,-97.65995,36.628572,320.4
YW,3011,-97.659953,36.627666,320.6
YW,3012,-97.65995,36.62676,320.4
YW,3013,-97.659958,36.625853,319.7
YW,3014,-97.659952,36.624947,319.0
YW,3015,-97.65995,36.62404,318.2
YW,3016,-97.659954,36.623108,317.0
YW,3017,-97.659963,36.622227,316.8
YW,3018,-97.659989,36.621321,315.7
YW,3019,-97.659991,36.620437,315.1
YW,3020,-97.659956,36.619508,314.0
YW,3021,-97.659958,36.618602,314.1
YW,3022,-97.659962,36.617695,314.0
YW,3023,-97.659969,36.616834,313.8
YW,3024,-97.659984,36.615883,314.4
YW,3025,-97.659978,36.614976,315.3
YW,3026,-97.659983,36.61407,316.3
YW,3027,-97.659989,36.613163,317.4
YW,3028,-97.659994,36.612257,320.4
YW,3029,-97.65999,36.611351,320.4
YW,3030,-97.659991,36.610444,320.6
YW,3031,-97.659992,36.609538,321.1
YW,3032,-97.659992,36.608631,321.6
YW,3033,-97.659999,36.607725,322.5
YW,3034,-97.659997,36.606819,323.0
YW,3035,-97.660007,36.605912,323.2
YW,3036,-97.66002,36.605006,323.8
YW,3037,-97.660043,36.604099,324.5
YW,3038,-97.660054,36.603193,324.9
YW,3039,-97.660065,36.602286,324.9
YW,3040,-97.660072,36.60138,325.0
YW,3041,-97.660092,36.600474,325.0
YW,3042,-97.660095,36.599567,324.7
YW,3043,-97.660103,36.598661,324.7
YW,3044,-97.660114,36.597754,324.2
YW,3045,-97.660116,36.596848,324.1
YW,3046,-97.660124,36.595942,323.4
YW,3047,-97.660114,36.595035,323.2
YW,3048,-97.660125,36.594129,324.3
YW,3049,-97.660157,36.593523,324.5
YW,4101,-97.63754,36.61882,317.1
YW,4102,-97.637506,36.61882,317.1
YW,4103,-97.637472,36.61882,317.3
YW,4104,-97.637438,36.61882,317.3
YW,4105,-97.637404,36.61882,317.5
YW,4106,-97.637404,36.618792,317.7
YW,4107,-97.637404,36.618765,317.7
YW,4108,-97.637404,36.618738,317.7
YW,4109,-97.637404,36.61871,317.7
YW,4110,-97.637438,36.61871,317.5
YW,4111,-97.637472,36.61871,317.5
YW,4112,-97.637506,36.61871,317.3
YW,4113,-97.63754,36.61871,317.3
YW,4114,-97.63754,36.618738,317.3
YW,4115,-97.63754,36.618765,317.3
YW,4116,-97.63754,36.618792,317.3
YW,4201,-97.637607,36.618874,317.0
YW,4202,-97.63754,36.618874,317.1
YW,4203,-97.637472,36.618874,317.3
YW,4204,-97.637404,36.618874,317.5
YW,4205,-97.637336,36.618874,317.5
YW,4206,-97.637336,36.61882,317.5
YW,4207,-97.637336,36.618765,317.7
YW,4208,-97.637336,36.61871,317.7
YW,4209,-97.637336,36.618656,317.8
YW,4210,-97.637404,36.618656,317.8
YW,4211,-97.637472,36.618656,317.6
YW,4212,-97.63754,36.618656,317.4
YW,4213,-97.637607,36.618656,317.2
YW,4214,-97.637607,36.61871,317.1
YW,4215,-97.637607,36.618765,317.1
YW,4216,-97.637607,36.61882,317.0
YW,4301,-97.637743,36.618984,316.6
YW,4302,-97.637607,36.618984,316.7
YW,4303,-97.637472,36.618984,317.0
YW,4304,-97.637336,36.618984,317.1
YW,4305,-97.6372,36.618984,317.4
YW,4306,-97.6372,36.618874,317.9
YW,4307,-97.6372,36.618765,318.1
YW,4309,-97.6372,36.618546,318.4
YW,4310,-97.637336,36.618546,317.9
YW,4311,-97.637472,36.618546,317.7
YW,4312,-97.637607,36.618546,317.3
YW,4313,-97.637743,36.618546,317.1
YW,4314,-97.637743,36.618656,317.0
YW,4315,-97.637743,36.618765,316.9
YW,4316,-97.637743,36.618874,316.8
YW,4401,-97.638015,36.619203,316.6
YW,4402,-97.637743,36.619203,316.6
YW,4403,-97.637472,36.619203,316.7
YW,4404,-97.6372,36.619203,316.8
YW,4405,-97.636929,36.619203,317.0
YW,4406,-97.636929,36.618984,318.0
YW,4407,-97.636929,36.618765,319.0
YW,4408,-97.636929,36.618546,319.3
YW,4409,-97.636929,36.618327,319.3
YW,4410,-97.6372,36.618327,318.4
YW,4412,-97.637743,36.618327,317.0
YW,4413,-97.638015,36.618327,316.2
YW,4414,-97.638015,36.618546,316.3
YW,4415,-97.638015,36.618765,316.2
YW,4416,-97.638015,36.618984,316.3
YW,4501,-97.638558,36.61964,317.2
YW,4502,-97.638015,36.61964,318.1
YW,4503,-97.637472,36.61964,317.3
YW,4504,-97.636929,36.61964,316.7
YW,4505,-97.636386,36.61964,318.4
YW,4506,-97.636386,36.619203,319.0
YW,4507,-97.636386,36.618765,320.8
YW,4508,-97.636386,36.618327,320.7
